product_id,competitor_product_id
product_ea_001,product_ea_002
product_ea_001,product_ea_003
product_ea_001,product_ea_004
product_ea_001,product_ea_005
product_ea_001,product_ea_006
product_ea_002,product_ea_003
product_ea_002,product_ea_004
product_ea_002,product_ea_005
product_ea_002,product_ea_006
product_ea_002,product_ea_007
product_ea_003,product_ea_004
product_ea_003,product_ea_005
product_ea_003,product_ea_006
product_ea_003,product_ea_007
product_ea_003,product_ea_008
product_ea_004,product_ea_005
product_ea_004,product_ea_006
product_ea_004,product_ea_007
product_ea_004,product_ea_008
product_ea_004,product_ea_009
product_ea_005,product_ea_006
product_ea_005,product_ea_007
product_ea_005,product_ea_008
product_ea_005,product_ea_009
product_ea_005,product_ea_010
product_ea_006,product_ea_007
product_ea_006,product_ea_008
product_ea_006,product_ea_009
product_ea_006,product_ea_010
product_ea_006,product_ea_011
product_ea_007,product_ea_008
product_ea_007,product_ea_009
product_ea_007,product_ea_010
product_ea_007,product_ea_011
product_ea_007,product_ea_012
product_ea_008,product_ea_009
product_ea_008,product_ea_010
product_ea_008,product_ea_011
product_ea_008,product_ea_012
product_ea_008,product_ea_013
product_ea_009,product_ea_010
product_ea_009,product_ea_011
product_ea_009,product_ea_012
product_ea_009,product_ea_013
product_ea_009,product_ea_014
product_ea_010,product_ea_011
product_ea_010,product_ea_012
product_ea_010,product_ea_013
product_ea_010,product_ea_014
product_ea_010,product_ea_015
product_ea_011,product_ea_012
product_ea_011,product_ea_013
product_ea_011,product_ea_014
product_ea_011,product_ea_015
product_ea_011,product_ea_016
product_ea_012,product_ea_013
product_ea_012,product_ea_014
product_ea_012,product_ea_015
product_ea_012,product_ea_016
product_ea_012,product_ea_017
product_ea_013,product_ea_014
product_ea_013,product_ea_015
product_ea_013,product_ea_016
product_ea_013,product_ea_017
product_ea_013,product_ea_018
product_ea_014,product_ea_015
product_ea_014,product_ea_016
product_ea_014,product_ea_017
product_ea_014,product_ea_018
product_ea_014,product_ea_019
product_ea_015,product_ea_016
product_ea_015,product_ea_017
product_ea_015,product_ea_018
product_ea_015,product_ea_019
product_ea_015,product_ea_020
product_ea_016,product_ea_017
product_ea_016,product_ea_018
product_ea_016,product_ea_019
product_ea_016,product_ea_020
product_ea_016,product_ea_021
product_ea_017,product_ea_018
product_ea_017,product_ea_019
product_ea_017,product_ea_020
product_ea_017,product_ea_021
product_ea_017,product_ea_022
product_ea_018,product_ea_019
product_ea_018,product_ea_020
product_ea_018,product_ea_021
product_ea_018,product_ea_022
product_ea_018,product_ea_023
product_ea_019,product_ea_020
product_ea_019,product_ea_021
product_ea_019,product_ea_022
product_ea_019,product_ea_023
product_ea_019,product_ea_024
product_ea_020,product_ea_021
product_ea_020,product_ea_022
product_ea_020,product_ea_023
product_ea_020,product_ea_024
product_ea_020,product_ea_025
product_ea_021,product_ea_022
product_ea_021,product_ea_023
product_ea_021,product_ea_024
product_ea_021,product_ea_025
product_ea_021,product_ea_026
product_ea_022,product_ea_023
product_ea_022,product_ea_024
product_ea_022,product_ea_025
product_ea_022,product_ea_026
product_ea_022,product_ea_027
product_ea_023,product_ea_024
product_ea_023,product_ea_025
product_ea_023,product_ea_026
product_ea_023,product_ea_027
product_ea_023,product_ea_028
product_ea_024,product_ea_025
product_ea_024,product_ea_026
product_ea_024,product_ea_027
product_ea_024,product_ea_028
product_ea_024,product_ea_029
product_ea_025,product_ea_026
product_ea_025,product_ea_027
product_ea_025,product_ea_028
product_ea_025,product_ea_029
product_ea_025,product_ea_030
product_ea_026,product_ea_027
product_ea_026,product_ea_028
product_ea_026,product_ea_029
product_ea_026,product_ea_030
product_ea_026,product_ea_031
product_ea_027,product_ea_028
product_ea_027,product_ea_029
product_ea_027,product_ea_030
product_ea_027,product_ea_031
product_ea_027,product_ea_032
product_ea_028,product_ea_029
product_ea_028,product_ea_030
product_ea_028,product_ea_031
product_ea_028,product_ea_032
product_ea_028,product_ea_001
product_ea_029,product_ea_030
product_ea_029,product_ea_031
product_ea_029,product_ea_032
product_ea_029,product_ea_001
product_ea_029,product_ea_002
product_ea_030,product_ea_031
product_ea_030,product_ea_032
product_ea_030,product_ea_001
product_ea_030,product_ea_002
product_ea_030,product_ea_003
product_ea_031,product_ea_032
product_ea_031,product_ea_001
product_ea_031,product_ea_002
product_ea_031,product_ea_003
product_ea_031,product_ea_004
product_ea_032,product_ea_001
product_ea_032,product_ea_002
product_ea_032,product_ea_003
product_ea_032,product_ea_004
product_ea_032,product_ea_005
product_ct_001,product_ct_002
product_ct_001,product_ct_003
product_ct_001,product_ct_004
product_ct_001,product_ct_005
product_ct_001,product_ct_006
product_ct_002,product_ct_003
product_ct_002,product_ct_004
product_ct_002,product_ct_005
product_ct_002,product_ct_006
product_ct_002,product_ct_007
product_ct_003,product_ct_004
product_ct_003,product_ct_005
product_ct_003,product_ct_006
product_ct_003,product_ct_007
product_ct_003,product_ct_008
product_ct_004,product_ct_005
product_ct_004,product_ct_006
product_ct_004,product_ct_007
product_ct_004,product_ct_008
product_ct_004,product_ct_009
product_ct_005,product_ct_006
product_ct_005,product_ct_007
product_ct_005,product_ct_008
product_ct_005,product_ct_009
product_ct_005,product_ct_010
product_ct_006,product_ct_007
product_ct_006,product_ct_008
product_ct_006,product_ct_009
product_ct_006,product_ct_010
product_ct_006,product_ct_011
product_ct_007,product_ct_008
product_ct_007,product_ct_009
product_ct_007,product_ct_010
product_ct_007,product_ct_011
product_ct_007,product_ct_012
product_ct_008,product_ct_009
product_ct_008,product_ct_010
product_ct_008,product_ct_011
product_ct_008,product_ct_012
product_ct_008,product_ct_013
product_ct_009,product_ct_010
product_ct_009,product_ct_011
product_ct_009,product_ct_012
product_ct_009,product_ct_013
product_ct_009,product_ct_014
product_ct_010,product_ct_011
product_ct_010,product_ct_012
product_ct_010,product_ct_013
product_ct_010,product_ct_014
product_ct_010,product_ct_015
product_ct_011,product_ct_012
product_ct_011,product_ct_013
product_ct_011,product_ct_014
product_ct_011,product_ct_015
product_ct_011,product_ct_016
product_ct_012,product_ct_013
product_ct_012,product_ct_014
product_ct_012,product_ct_015
product_ct_012,product_ct_016
product_ct_012,product_ct_017
product_ct_013,product_ct_014
product_ct_013,product_ct_015
product_ct_013,product_ct_016
product_ct_013,product_ct_017
product_ct_013,product_ct_018
product_ct_014,product_ct_015
product_ct_014,product_ct_016
product_ct_014,product_ct_017
product_ct_014,product_ct_018
product_ct_014,product_ct_019
product_ct_015,product_ct_016
product_ct_015,product_ct_017
product_ct_015,product_ct_018
product_ct_015,product_ct_019
product_ct_015,product_ct_020
product_ct_016,product_ct_017
product_ct_016,product_ct_018
product_ct_016,product_ct_019
product_ct_016,product_ct_020
product_ct_016,product_ct_021
product_ct_017,product_ct_018
product_ct_017,product_ct_019
product_ct_017,product_ct_020
product_ct_017,product_ct_021
product_ct_017,product_ct_022
product_ct_018,product_ct_019
product_ct_018,product_ct_020
product_ct_018,product_ct_021
product_ct_018,product_ct_022
product_ct_018,product_ct_023
product_ct_019,product_ct_020
product_ct_019,product_ct_021
product_ct_019,product_ct_022
product_ct_019,product_ct_023
product_ct_019,product_ct_024
product_ct_020,product_ct_021
product_ct_020,product_ct_022
product_ct_020,product_ct_023
product_ct_020,product_ct_024
product_ct_020,product_ct_025
product_ct_021,product_ct_022
product_ct_021,product_ct_023
product_ct_021,product_ct_024
product_ct_021,product_ct_025
product_ct_021,product_ct_026
product_ct_022,product_ct_023
product_ct_022,product_ct_024
product_ct_022,product_ct_025
product_ct_022,product_ct_026
product_ct_022,product_ct_027
product_ct_023,product_ct_024
product_ct_023,product_ct_025
product_ct_023,product_ct_026
product_ct_023,product_ct_027
product_ct_023,product_ct_028
product_ct_024,product_ct_025
product_ct_024,product_ct_026
product_ct_024,product_ct_027
product_ct_024,product_ct_028
product_ct_024,product_ct_029
product_ct_025,product_ct_026
product_ct_025,product_ct_027
product_ct_025,product_ct_028
product_ct_025,product_ct_029
product_ct_025,product_ct_030
product_ct_026,product_ct_027
product_ct_026,product_ct_028
product_ct_026,product_ct_029
product_ct_026,product_ct_030
product_ct_026,product_ct_031
product_ct_027,product_ct_028
product_ct_027,product_ct_029
product_ct_027,product_ct_030
product_ct_027,product_ct_031
product_ct_027,product_ct_032
product_ct_028,product_ct_029
product_ct_028,product_ct_030
product_ct_028,product_ct_031
product_ct_028,product_ct_032
product_ct_028,product_ct_001
product_ct_029,product_ct_030
product_ct_029,product_ct_031
product_ct_029,product_ct_032
product_ct_029,product_ct_001
product_ct_029,product_ct_002
product_ct_030,product_ct_031
product_ct_030,product_ct_032
product_ct_030,product_ct_001
product_ct_030,product_ct_002
product_ct_030,product_ct_003
product_ct_031,product_ct_032
product_ct_031,product_ct_001
product_ct_031,product_ct_002
product_ct_031,product_ct_003
product_ct_031,product_ct_004
product_ct_032,product_ct_001
product_ct_032,product_ct_002
product_ct_032,product_ct_003
product_ct_032,product_ct_004
product_ct_032,product_ct_005
product_hg_001,product_hg_002
product_hg_001,product_hg_003
product_hg_001,product_hg_004
product_hg_001,product_hg_005
product_hg_001,product_hg_006
product_hg_002,product_hg_003
product_hg_002,product_hg_004
product_hg_002,product_hg_005
product_hg_002,product_hg_006
product_hg_002,product_hg_007
product_hg_003,product_hg_004
product_hg_003,product_hg_005
product_hg_003,product_hg_006
product_hg_003,product_hg_007
product_hg_003,product_hg_008
product_hg_004,product_hg_005
product_hg_004,product_hg_006
product_hg_004,product_hg_007
product_hg_004,product_hg_008
product_hg_004,product_hg_009
product_hg_005,product_hg_006
product_hg_005,product_hg_007
product_hg_005,product_hg_008
product_hg_005,product_hg_009
product_hg_005,product_hg_010
product_hg_006,product_hg_007
product_hg_006,product_hg_008
product_hg_006,product_hg_009
product_hg_006,product_hg_010
product_hg_006,product_hg_011
product_hg_007,product_hg_008
product_hg_007,product_hg_009
product_hg_007,product_hg_010
product_hg_007,product_hg_011
product_hg_007,product_hg_012
product_hg_008,product_hg_009
product_hg_008,product_hg_010
product_hg_008,product_hg_011
product_hg_008,product_hg_012
product_hg_008,product_hg_013
product_hg_009,product_hg_010
product_hg_009,product_hg_011
product_hg_009,product_hg_012
product_hg_009,product_hg_013
product_hg_009,product_hg_014
product_hg_010,product_hg_011
product_hg_010,product_hg_012
product_hg_010,product_hg_013
product_hg_010,product_hg_014
product_hg_010,product_hg_015
product_hg_011,product_hg_012
product_hg_011,product_hg_013
product_hg_011,product_hg_014
product_hg_011,product_hg_015
product_hg_011,product_hg_016
product_hg_012,product_hg_013
product_hg_012,product_hg_014
product_hg_012,product_hg_015
product_hg_012,product_hg_016
product_hg_012,product_hg_017
product_hg_013,product_hg_014
product_hg_013,product_hg_015
product_hg_013,product_hg_016
product_hg_013,product_hg_017
product_hg_013,product_hg_018
product_hg_014,product_hg_015
product_hg_014,product_hg_016
product_hg_014,product_hg_017
product_hg_014,product_hg_018
product_hg_014,product_hg_019
product_hg_015,product_hg_016
product_hg_015,product_hg_017
product_hg_015,product_hg_018
product_hg_015,product_hg_019
product_hg_015,product_hg_020
product_hg_016,product_hg_017
product_hg_016,product_hg_018
product_hg_016,product_hg_019
product_hg_016,product_hg_020
product_hg_016,product_hg_021
product_hg_017,product_hg_018
product_hg_017,product_hg_019
product_hg_017,product_hg_020
product_hg_017,product_hg_021
product_hg_017,product_hg_022
product_hg_018,product_hg_019
product_hg_018,product_hg_020
product_hg_018,product_hg_021
product_hg_018,product_hg_022
product_hg_018,product_hg_023
product_hg_019,product_hg_020
product_hg_019,product_hg_021
product_hg_019,product_hg_022
product_hg_019,product_hg_023
product_hg_019,product_hg_024
