product_id,name,category_id,brand_id,marketplace_id,price,rating,review_count,bsr,is_synthetic
product_ea_001,USB-C Cable 01,category_electronics_accessories,brand_ea_nova,marketplace_amazon_us,33.64,4.2,4060,128193,true
product_ea_002,GaN Charger 02,category_electronics_accessories,brand_ea_pulse,marketplace_amazon_us,51.83,3.8,4531,15216,true
product_ea_003,Wireless Earbuds 03,category_electronics_accessories,brand_ea_vector,marketplace_amazon_us,27.06,4.8,4387,7298,true
product_ea_004,Travel Adapter 04,category_electronics_accessories,brand_ea_orbit,marketplace_amazon_us,88.95,3.6,6333,147550,true
product_ea_005,USB-C Cable 05,category_electronics_accessories,brand_ea_nova,marketplace_amazon_us,77.18,4.7,2968,164808,true
product_ea_006,GaN Charger 06,category_electronics_accessories,brand_ea_pulse,marketplace_amazon_us,77.87,3.7,7518,72479,true
product_ea_007,Wireless Earbuds 07,category_electronics_accessories,brand_ea_vector,marketplace_amazon_us,25.73,3.8,7195,93722,true
product_ea_008,Travel Adapter 08,category_electronics_accessories,brand_ea_orbit,marketplace_amazon_us,43.27,4.3,2192,76343,true
product_ea_009,USB-C Cable 09,category_electronics_accessories,brand_ea_nova,marketplace_amazon_us,63.83,4.7,8287,162723,true
product_ea_010,GaN Charger 10,category_electronics_accessories,brand_ea_pulse,marketplace_amazon_us,46.05,3.5,4943,130086,true
product_ea_011,Wireless Earbuds 11,category_electronics_accessories,brand_ea_vector,marketplace_amazon_us,87.95,4.4,1361,13655,true
product_ea_012,Travel Adapter 12,category_electronics_accessories,brand_ea_orbit,marketplace_amazon_us,63.87,4.9,3865,30313,true
product_ea_013,USB-C Cable 13,category_electronics_accessories,brand_ea_nova,marketplace_amazon_us,76.90,4.6,2112,77188,true
product_ea_014,GaN Charger 14,category_electronics_accessories,brand_ea_pulse,marketplace_amazon_us,12.00,4.2,3491,9364,true
product_ea_015,Wireless Earbuds 15,category_electronics_accessories,brand_ea_vector,marketplace_amazon_us,64.38,4.2,240,45486,true
product_ea_016,Travel Adapter 16,category_electronics_accessories,brand_ea_orbit,marketplace_amazon_us,84.00,4.0,6265,36318,true
product_ea_017,USB-C Cable 17,category_electronics_accessories,brand_ea_nova,marketplace_amazon_us,60.84,4.0,7029,4889,true
product_ea_018,GaN Charger 18,category_electronics_accessories,brand_ea_pulse,marketplace_amazon_us,45.67,4.5,2595,118949,true
product_ea_019,Wireless Earbuds 19,category_electronics_accessories,brand_ea_vector,marketplace_amazon_us,57.82,4.6,1046,106909,true
product_ea_020,Travel Adapter 20,category_electronics_accessories,brand_ea_orbit,marketplace_amazon_us,80.33,3.9,2377,151615,true
product_ea_021,USB-C Cable 21,category_electronics_accessories,brand_ea_nova,marketplace_amazon_us,40.46,4.0,851,49405,true
product_ea_022,GaN Charger 22,category_electronics_accessories,brand_ea_pulse,marketplace_amazon_us,15.89,3.9,1524,20623,true
product_ea_023,Wireless Earbuds 23,category_electronics_accessories,brand_ea_vector,marketplace_amazon_us,48.86,3.6,4894,132900,true
product_ea_024,Travel Adapter 24,category_electronics_accessories,brand_ea_orbit,marketplace_amazon_us,65.93,4.5,4588,40264,true
product_ea_025,USB-C Cable 25,category_electronics_accessories,brand_ea_nova,marketplace_amazon_us,56.79,4.0,6423,103032,true
product_ea_026,GaN Charger 26,category_electronics_accessories,brand_ea_pulse,marketplace_amazon_us,83.44,4.6,4330,135819,true
product_ea_027,Wireless Earbuds 27,category_electronics_accessories,brand_ea_vector,marketplace_amazon_us,76.04,4.6,3423,66289,true
product_ea_028,Travel Adapter 28,category_electronics_accessories,brand_ea_orbit,marketplace_amazon_us,28.74,3.7,6426,105496,true
product_ea_029,USB-C Cable 29,category_electronics_accessories,brand_ea_nova,marketplace_amazon_us,88.89,4.1,4964,125310,true
product_ea_030,GaN Charger 30,category_electronics_accessories,brand_ea_pulse,marketplace_amazon_us,22.31,4.1,102,42921,true
product_ea_031,Wireless Earbuds 31,category_electronics_accessories,brand_ea_vector,marketplace_amazon_us,27.23,4.6,4147,170370,true
product_ea_032,Travel Adapter 32,category_electronics_accessories,brand_ea_orbit,marketplace_amazon_us,29.22,4.1,5563,50790,true
