product_id,feature_id
product_ea_001,feature_ea_cable
product_ea_001,feature_ea_charging
product_ea_001,feature_ea_battery
product_ea_002,feature_ea_wireless
product_ea_002,feature_ea_compact
product_ea_002,feature_ea_battery
product_ea_002,feature_ea_charging
product_ea_003,feature_ea_cable
product_ea_003,feature_ea_wireless
product_ea_003,feature_ea_charging
product_ea_003,feature_ea_battery
product_ea_003,feature_ea_compact
product_ea_004,feature_ea_wireless
product_ea_004,feature_ea_battery
product_ea_005,feature_ea_wireless
product_ea_005,feature_ea_cable
product_ea_005,feature_ea_charging
product_ea_006,feature_ea_battery
product_ea_006,feature_ea_wireless
product_ea_006,feature_ea_cable
product_ea_006,feature_ea_charging
product_ea_007,feature_ea_wireless
product_ea_007,feature_ea_battery
product_ea_007,feature_ea_compact
product_ea_007,feature_ea_cable
product_ea_007,feature_ea_charging
product_ea_008,feature_ea_wireless
product_ea_008,feature_ea_charging
product_ea_009,feature_ea_cable
product_ea_009,feature_ea_charging
product_ea_009,feature_ea_wireless
product_ea_010,feature_ea_charging
product_ea_010,feature_ea_compact
product_ea_010,feature_ea_cable
product_ea_010,feature_ea_battery
product_ea_011,feature_ea_charging
product_ea_011,feature_ea_wireless
product_ea_011,feature_ea_compact
product_ea_011,feature_ea_cable
product_ea_011,feature_ea_battery
product_ea_012,feature_ea_compact
product_ea_012,feature_ea_cable
product_ea_013,feature_ea_compact
product_ea_013,feature_ea_battery
product_ea_013,feature_ea_charging
product_ea_014,feature_ea_wireless
product_ea_014,feature_ea_charging
product_ea_014,feature_ea_cable
product_ea_014,feature_ea_battery
product_ea_015,feature_ea_compact
product_ea_015,feature_ea_charging
product_ea_015,feature_ea_wireless
product_ea_015,feature_ea_battery
product_ea_015,feature_ea_cable
product_ea_016,feature_ea_wireless
product_ea_016,feature_ea_battery
product_ea_017,feature_ea_charging
product_ea_017,feature_ea_cable
product_ea_017,feature_ea_compact
product_ea_018,feature_ea_wireless
product_ea_018,feature_ea_charging
product_ea_018,feature_ea_battery
product_ea_018,feature_ea_cable
product_ea_019,feature_ea_compact
product_ea_019,feature_ea_battery
product_ea_019,feature_ea_cable
product_ea_019,feature_ea_charging
product_ea_019,feature_ea_wireless
product_ea_020,feature_ea_battery
product_ea_020,feature_ea_charging
product_ea_021,feature_ea_battery
product_ea_021,feature_ea_charging
product_ea_021,feature_ea_compact
product_ea_022,feature_ea_wireless
product_ea_022,feature_ea_battery
product_ea_022,feature_ea_compact
product_ea_022,feature_ea_cable
product_ea_023,feature_ea_cable
product_ea_023,feature_ea_compact
product_ea_023,feature_ea_battery
product_ea_023,feature_ea_charging
product_ea_023,feature_ea_wireless
product_ea_024,feature_ea_wireless
product_ea_024,feature_ea_compact
product_ea_025,feature_ea_charging
product_ea_025,feature_ea_wireless
product_ea_025,feature_ea_battery
product_ea_026,feature_ea_wireless
product_ea_026,feature_ea_cable
product_ea_026,feature_ea_compact
product_ea_026,feature_ea_battery
product_ea_027,feature_ea_compact
product_ea_027,feature_ea_battery
product_ea_027,feature_ea_wireless
product_ea_027,feature_ea_charging
product_ea_027,feature_ea_cable
product_ea_028,feature_ea_compact
product_ea_028,feature_ea_battery
product_ea_029,feature_ea_charging
product_ea_029,feature_ea_cable
product_ea_029,feature_ea_wireless
product_ea_030,feature_ea_wireless
product_ea_030,feature_ea_charging
product_ea_030,feature_ea_battery
