product_id,risk_id,rule_id
product_ea_001,risk_battery,rule_electronics_accessories_1
product_ea_001,risk_electrical,rule_electronics_accessories_2
product_ea_002,risk_battery,rule_electronics_accessories_1
product_ea_002,risk_electrical,rule_electronics_accessories_2
product_ea_002,risk_wireless,rule_electronics_accessories_1
product_ea_003,risk_battery,rule_electronics_accessories_2
product_ea_004,risk_battery,rule_electronics_accessories_1
product_ea_004,risk_electrical,rule_electronics_accessories_2
product_ea_005,risk_battery,rule_electronics_accessories_1
product_ea_005,risk_electrical,rule_electronics_accessories_2
product_ea_005,risk_wireless,rule_electronics_accessories_1
product_ea_006,risk_battery,rule_electronics_accessories_2
product_ea_007,risk_battery,rule_electronics_accessories_1
product_ea_007,risk_electrical,rule_electronics_accessories_2
product_ea_008,risk_battery,rule_electronics_accessories_1
product_ea_008,risk_electrical,rule_electronics_accessories_2
product_ea_008,risk_wireless,rule_electronics_accessories_1
product_ea_009,risk_battery,rule_electronics_accessories_2
product_ea_010,risk_battery,rule_electronics_accessories_1
product_ea_010,risk_electrical,rule_electronics_accessories_2
product_ea_011,risk_battery,rule_electronics_accessories_1
product_ea_011,risk_electrical,rule_electronics_accessories_2
product_ea_011,risk_wireless,rule_electronics_accessories_1
product_ea_012,risk_battery,rule_electronics_accessories_2
product_ea_013,risk_battery,rule_electronics_accessories_1
product_ea_013,risk_electrical,rule_electronics_accessories_2
product_ea_014,risk_battery,rule_electronics_accessories_1
product_ea_014,risk_electrical,rule_electronics_accessories_2
product_ea_014,risk_wireless,rule_electronics_accessories_1
product_ea_015,risk_battery,rule_electronics_accessories_2
product_ea_016,risk_battery,rule_electronics_accessories_1
product_ea_016,risk_electrical,rule_electronics_accessories_2
product_ea_017,risk_battery,rule_electronics_accessories_1
product_ea_017,risk_electrical,rule_electronics_accessories_2
product_ea_017,risk_wireless,rule_electronics_accessories_1
product_ea_018,risk_battery,rule_electronics_accessories_2
product_ea_019,risk_battery,rule_electronics_accessories_1
product_ea_019,risk_electrical,rule_electronics_accessories_2
product_ea_020,risk_battery,rule_electronics_accessories_1
product_ea_020,risk_electrical,rule_electronics_accessories_2
product_ea_020,risk_wireless,rule_electronics_accessories_1
product_ea_021,risk_battery,rule_electronics_accessories_2
product_ea_022,risk_battery,rule_electronics_accessories_1
product_ea_022,risk_electrical,rule_electronics_accessories_2
product_ea_023,risk_battery,rule_electronics_accessories_1
product_ea_023,risk_electrical,rule_electronics_accessories_2
product_ea_023,risk_wireless,rule_electronics_accessories_1
product_ea_024,risk_battery,rule_electronics_accessories_2
product_ea_025,risk_battery,rule_electronics_accessories_1
product_ea_025,risk_electrical,rule_electronics_accessories_2
product_ea_026,risk_battery,rule_electronics_accessories_1
product_ea_026,risk_electrical,rule_electronics_accessories_2
product_ea_026,risk_wireless,rule_electronics_accessories_1
product_ea_027,risk_battery,rule_electronics_accessories_2
product_ea_028,risk_battery,rule_electronics_accessories_1
product_ea_028,risk_electrical,rule_electronics_accessories_2
product_ea_029,risk_battery,rule_electronics_accessories_1
product_ea_029,risk_electrical,rule_electronics_accessories_2
product_ea_029,risk_wireless,rule_electronics_accessories_1
product_ea_030,risk_battery,rule_electronics_accessories_2
product_ea_031,risk_battery,rule_electronics_accessories_1
product_ea_031,risk_electrical,rule_electronics_accessories_2
product_ea_032,risk_battery,rule_electronics_accessories_1
product_ea_032,risk_electrical,rule_electronics_accessories_2
product_ea_032,risk_wireless,rule_electronics_accessories_1
product_ct_001,risk_age,rule_children_toys_2
product_ct_001,risk_toy_material,rule_children_toys_1
product_ct_002,risk_age,rule_children_toys_2
product_ct_002,risk_toy_material,rule_children_toys_1
product_ct_002,risk_small_parts,rule_children_toys_2
product_ct_003,risk_age,rule_children_toys_1
product_ct_004,risk_age,rule_children_toys_2
product_ct_004,risk_toy_material,rule_children_toys_1
product_ct_005,risk_age,rule_children_toys_2
product_ct_005,risk_toy_material,rule_children_toys_1
product_ct_005,risk_small_parts,rule_children_toys_2
product_ct_006,risk_age,rule_children_toys_1
product_ct_007,risk_age,rule_children_toys_2
product_ct_007,risk_toy_material,rule_children_toys_1
product_ct_008,risk_age,rule_children_toys_2
product_ct_008,risk_toy_material,rule_children_toys_1
product_ct_008,risk_small_parts,rule_children_toys_2
product_ct_009,risk_age,rule_children_toys_1
product_ct_010,risk_age,rule_children_toys_2
product_ct_010,risk_toy_material,rule_children_toys_1
product_ct_011,risk_age,rule_children_toys_2
product_ct_011,risk_toy_material,rule_children_toys_1
product_ct_011,risk_small_parts,rule_children_toys_2
product_ct_012,risk_age,rule_children_toys_1
product_ct_013,risk_age,rule_children_toys_2
product_ct_013,risk_toy_material,rule_children_toys_1
product_ct_014,risk_age,rule_children_toys_2
product_ct_014,risk_toy_material,rule_children_toys_1
product_ct_014,risk_small_parts,rule_children_toys_2
product_ct_015,risk_age,rule_children_toys_1
product_ct_016,risk_age,rule_children_toys_2
product_ct_016,risk_toy_material,rule_children_toys_1
product_ct_017,risk_age,rule_children_toys_2
product_ct_017,risk_toy_material,rule_children_toys_1
product_ct_017,risk_small_parts,rule_children_toys_2
product_ct_018,risk_age,rule_children_toys_1
product_ct_019,risk_age,rule_children_toys_2
product_ct_019,risk_toy_material,rule_children_toys_1
product_ct_020,risk_age,rule_children_toys_2
product_ct_020,risk_toy_material,rule_children_toys_1
product_ct_020,risk_small_parts,rule_children_toys_2
product_ct_021,risk_age,rule_children_toys_1
product_ct_022,risk_age,rule_children_toys_2
product_ct_022,risk_toy_material,rule_children_toys_1
product_ct_023,risk_age,rule_children_toys_2
product_ct_023,risk_toy_material,rule_children_toys_1
product_ct_023,risk_small_parts,rule_children_toys_2
product_ct_024,risk_age,rule_children_toys_1
product_ct_025,risk_age,rule_children_toys_2
product_ct_025,risk_toy_material,rule_children_toys_1
product_ct_026,risk_age,rule_children_toys_2
product_ct_026,risk_toy_material,rule_children_toys_1
product_ct_026,risk_small_parts,rule_children_toys_2
product_ct_027,risk_age,rule_children_toys_1
product_ct_028,risk_age,rule_children_toys_2
product_ct_028,risk_toy_material,rule_children_toys_1
product_ct_029,risk_age,rule_children_toys_2
product_ct_029,risk_toy_material,rule_children_toys_1
product_ct_029,risk_small_parts,rule_children_toys_2
product_ct_030,risk_age,rule_children_toys_1
product_ct_031,risk_age,rule_children_toys_2
product_ct_031,risk_toy_material,rule_children_toys_1
product_ct_032,risk_age,rule_children_toys_2
product_ct_032,risk_toy_material,rule_children_toys_1
product_ct_032,risk_small_parts,rule_children_toys_2
product_hg_001,risk_home_material,rule_home_goods_1
product_hg_001,risk_load_bearing,rule_home_goods_2
product_hg_002,risk_home_material,rule_home_goods_1
product_hg_002,risk_load_bearing,rule_home_goods_2
product_hg_002,risk_food_contact,rule_home_goods_1
product_hg_003,risk_home_material,rule_home_goods_2
product_hg_004,risk_home_material,rule_home_goods_1
product_hg_004,risk_load_bearing,rule_home_goods_2
product_hg_005,risk_home_material,rule_home_goods_1
product_hg_005,risk_load_bearing,rule_home_goods_2
product_hg_005,risk_food_contact,rule_home_goods_1
product_hg_006,risk_home_material,rule_home_goods_2
product_hg_007,risk_home_material,rule_home_goods_1
product_hg_007,risk_load_bearing,rule_home_goods_2
product_hg_008,risk_home_material,rule_home_goods_1
product_hg_008,risk_load_bearing,rule_home_goods_2
product_hg_008,risk_food_contact,rule_home_goods_1
product_hg_009,risk_home_material,rule_home_goods_2
product_hg_010,risk_home_material,rule_home_goods_1
product_hg_010,risk_load_bearing,rule_home_goods_2
product_hg_011,risk_home_material,rule_home_goods_1
product_hg_011,risk_load_bearing,rule_home_goods_2
product_hg_011,risk_food_contact,rule_home_goods_1
product_hg_012,risk_home_material,rule_home_goods_2
product_hg_013,risk_home_material,rule_home_goods_1
product_hg_013,risk_load_bearing,rule_home_goods_2
product_hg_014,risk_home_material,rule_home_goods_1
product_hg_014,risk_load_bearing,rule_home_goods_2
product_hg_014,risk_food_contact,rule_home_goods_1
product_hg_015,risk_home_material,rule_home_goods_2
product_hg_016,risk_home_material,rule_home_goods_1
product_hg_016,risk_load_bearing,rule_home_goods_2
product_hg_017,risk_home_material,rule_home_goods_1
product_hg_017,risk_load_bearing,rule_home_goods_2
product_hg_017,risk_food_contact,rule_home_goods_1
product_hg_018,risk_home_material,rule_home_goods_2
product_hg_019,risk_home_material,rule_home_goods_1
product_hg_019,risk_load_bearing,rule_home_goods_2
product_hg_020,risk_home_material,rule_home_goods_1
product_hg_020,risk_load_bearing,rule_home_goods_2
product_hg_020,risk_food_contact,rule_home_goods_1
product_hg_021,risk_home_material,rule_home_goods_2
product_hg_022,risk_home_material,rule_home_goods_1
product_hg_022,risk_load_bearing,rule_home_goods_2
product_hg_023,risk_home_material,rule_home_goods_1
product_hg_023,risk_load_bearing,rule_home_goods_2
product_hg_023,risk_food_contact,rule_home_goods_1
product_hg_024,risk_home_material,rule_home_goods_2
product_hg_025,risk_home_material,rule_home_goods_1
product_hg_025,risk_load_bearing,rule_home_goods_2
product_hg_026,risk_home_material,rule_home_goods_1
product_hg_026,risk_load_bearing,rule_home_goods_2
product_hg_026,risk_food_contact,rule_home_goods_1
product_hg_027,risk_home_material,rule_home_goods_2
product_hg_028,risk_home_material,rule_home_goods_1
product_hg_028,risk_load_bearing,rule_home_goods_2
product_hg_029,risk_home_material,rule_home_goods_1
product_hg_029,risk_load_bearing,rule_home_goods_2
product_hg_029,risk_food_contact,rule_home_goods_1
product_hg_030,risk_home_material,rule_home_goods_2
product_hg_031,risk_home_material,rule_home_goods_1
product_hg_031,risk_load_bearing,rule_home_goods_2
product_hg_032,risk_home_material,rule_home_goods_1
product_hg_032,risk_load_bearing,rule_home_goods_2
product_hg_032,risk_food_contact,rule_home_goods_1
